0,Correlation,Error_measure,Precision,tp,DailyValueTraded
ASX,0.0500759062649,0.00845145552754,0.3333333333333333,7,18047290.5306
ASZ,0.00891240183189,0.0253120123179,0,0,218860.81004
ATC,-1.1,-1.1,-1.1,-1.1,19772.0431491
ATE,-1.1,-1.1,-1.1,-1.1,41762.7107882
ATI,0.0496064149692,0.0439564325354,0.6666666666666666,2,81760.3848714
ATM,-1.1,-1.1,-1.1,-1.1,159.111772187
ATP,-1.1,-1.1,-1.1,-1.1,9537.14048521
ATR,-1.1,-1.1,-1.1,-1.1,18338.5096616
ATU,-0.0859518171202,0.0275502441961,0.17857142857142858,5,148081.235293
AUB,0.0100081519146,0.0126479154033,0.0,0,323696.026293
AUC,-0.0141185296739,0.0877289967024,0,0,55115.5734887
AUF,-1.1,-1.1,-1.1,-1.1,42367.4955314
AUI,0.534346831243,0.032945033034,0.6022727272727273,53,53023.9034845
AUK,-1.1,-1.1,-1.1,-1.1,19803.3994824
AUP,-1.1,-1.1,-1.1,-1.1,6867.39301042
AUQ,0.021112927388,0.0553807924436,0,0,53553.17574
AUZ,0.19884454995,0.0525709548993,0.3333333333333333,3,194801.995796
AVB,0.00629953324599,0.0408206567464,0.29411764705882354,35,404031.896691
AVD,-1.1,-1.1,-1.1,-1.1,3000.88847111
AVG,-0.00262695588329,0.0214804659705,0.20833333333333334,10,137884.720021
AVH,-1.1,-1.1,-1.1,-1.1,49015.1678463
AVI,-1.1,-1.1,-1.1,-1.1,22435.6184599
AVJ,0.100674722699,0.0206594347657,0.38095238095238093,8,51740.150893
AVN,0.151067735572,0.0063650614577,0,0,760744.307765
AVQ,0.0707171067951,0.0600889357404,0.0,0,238828.519761
AVX,-0.0752084743496,0.0483027941967,0.19148936170212766,9,223729.860842
AVZ,-1.1,-1.1,-1.1,-1.1,8609.85319726
AWC,0.0249471340893,0.0230128621205,0,0,21465637.0793
AWD,0.0472623932569,0.050333152375,0,0,414998.762458
AWE,-0.0159504210925,0.0214334426775,0.0,0,5015208.46675
AWN,-1.1,-1.1,-1.1,-1.1,11602.0004976
AWO,-1.1,-1.1,-1.1,-1.1,4686.63663314
AWQ,-1.1,-1.1,-1.1,-1.1,5566.09943182
AWV,-1.1,-1.1,-1.1,-1.1,25765.4962073
AWW,-1.1,-1.1,-1.1,-1.1,25902.6801778
AXE,-1.1,-1.1,-1.1,-1.1,41232.7717048
AXI,-1.1,-1.1,-1.1,-1.1,24739.4463555
AXP,0.0157292305627,0.0279865825931,0.4444444444444444,4,118384.458777
AXT,-1.1,-1.1,-1.1,-1.1,12394.9066743
AXZ,-1.1,-1.1,-1.1,-1.1,9745.4098539
AYA,-1.1,-1.1,-1.1,-1.1,18795.0354274
AYB,-1.1,-1.1,-1.1,-1.1,8694.00575947
AYC,-1.1,-1.1,-1.1,-1.1,4413.77891304
AYF,-1.1,-1.1,-1.1,-1.1,12679.8299101
AYG,-1.1,-1.1,-1.1,-1.1,12573.9460727
AYI,-1.1,-1.1,-1.1,-1.1,3809.60067584
AYJ,-1.1,-1.1,-1.1,-1.1,3637.41726619
AYK,-1.1,-1.1,-1.1,-1.1,25034.9374359
AYM,-1.1,-1.1,-1.1,-1.1,4187.26315217
AYN,0.0523850629624,0.0435484392056,0,0,303352.783193
AYR,-1.1,-1.1,-1.1,-1.1,13273.5529154
AYS,0.0944702660891,0.0502912057776,0,0,1107899.75326
AYZ,-1.1,-1.1,-1.1,-1.1,9951.34638554
AZC,-1.1,-1.1,-1.1,-1.1,19972.8905809
AZG,0.0278612679088,0.0322122603539,0,0,84806.7233796
AZJ,0.00295894776377,0.0090474486589,0.2727272727272727,3,30044453.6692
AZM,0.0236846715158,0.0478365804637,0.2222222222222222,2,156431.215925
AZQ,-1.1,-1.1,-1.1,-1.1,6469.12411268
AZS,0.0087346632323,0.0880903571467,0,0,114271.306049
AZV,-1.1,-1.1,-1.1,-1.1,41918.7607575
AZY,-0.118328415951,0.0655210357853,0,0,55913.2482642
AZZ,-0.00595515448479,0.0361073190729,0.25,5,269885.404949
BAF,-1.1,-1.1,-1.1,-1.1,37285.863126
BAL,0.0918348815621,0.0308948398712,0.8,4,5506494.31997
BAP,-0.0608471750769,0.0134350615131,0.3333333333333333,2,2437305.60199
BAR,0.0615044992197,0.0597999707188,0,0,65565.142162
BAS,-1.1,-1.1,-1.1,-1.1,17941.2767022
BAU,0.0513399066223,0.0301619744252,0.05555555555555555,2,124843.364121
BBG,0.0396525872091,0.052093381676,0,0,7258467.63166
BBL,-1.1,-1.1,-1.1,-1.1,959.954967653
BBN,-0.0894835280318,0.0169319091537,0.15384615384615385,2,723628.25
BBR,-1.1,-1.1,-1.1,-1.1,10463.0899537
BBX,-1.1,-1.1,-1.1,-1.1,6399.18894895
BCC,0.0462528588321,0.0341287429395,0,0,281978.552639
BCD,-1.1,-1.1,-1.1,-1.1,39335.006016
BCI,-0.0612169669243,0.0215481063104,0.38064516129032255,59,803682.357973
BCK,-1.1,-1.1,-1.1,-1.1,8949.37433717
BCN,0.052427650415,0.0948406259591,0.14285714285714285,68,73990.8304575
BCT,-1.1,-1.1,-1.1,-1.1,19945.2071892
BDI,-1.1,-1.1,-1.1,-1.1,19836.133232
BDR,-0.00562498541414,0.0322602921779,0.4375,7,1900663.69362
BEG,-1.1,-1.1,-1.1,-1.1,5497.60738374
BEL,-1.1,-1.1,-1.1,-1.1,8589.83551066
BEN,0.0170225163636,0.0122165914613,0.6428571428571429,18,7437868.49597
BEZ,-1.1,-1.1,-1.1,-1.1,33898.4419686
BFC,0.186917481254,0.0312006031856,0,0,672392.697411
BFG,-1.1,-1.1,-1.1,-1.1,45780.6631596
BGA,8.00758160935e-05,0.0113004165462,0.4126984126984127,26,1255626.1355
BGC,-1.1,-1.1,-1.1,-1.1,37343.595317
BGD,-1.1,-1.1,-1.1,-1.1,33862.6332873
BGG,-1.1,-1.1,-1.1,-1.1,13225.7517951
BGH,-1.1,-1.1,-1.1,-1.1,1062.14973134
BGL,0.0774150137032,0.0265404275754,0.4796747967479675,59,106903.307526
BGR,-1.1,-1.1,-1.1,-1.1,2986.92267072
BGS,0.00625745829046,0.0793242597157,0,0,78369.6323303
BHG,-1.1,-1.1,-1.1,-1.1,55.6881851401
BHP,-0.0217693707957,0.0126217191367,0.48148148148148145,13,329834538.146
BIC,-1.1,-1.1,-1.1,-1.1,0.0
BIG,-0.000793393709022,0.177382787148,0,0,199915.196391
BIS,-1.1,-1.1,-1.1,-1.1,41630.7076306
BIT,-1.1,-1.1,-1.1,-1.1,31465.910321
BKI,0.408854885293,0.0216983264642,0.5396825396825397,34,174214.455184
BKL,-0.0235274364306,0.0119597006284,0.5714285714285714,4,2103274.39994
BKM,-1.1,-1.1,-1.1,-1.1,1726.0736522
BKN,0.00452769862718,0.0226558040287,0.4,2,3675945.91093
BKP,0.266359321065,0.0686894503794,0.2923728813559322,69,88809.6522256
BKT,-1.1,-1.1,-1.1,-1.1,27505.2949906
BKW,-0.03492434281,0.0103555971818,0.35294117647058826,6,749777.564565
BKY,-0.0185180602724,0.0354528589033,0,0,260998.277015
BLA,0.108708480935,0.0175633470562,0.48936170212765956,23,142079.456084
BLD,-0.0124415608698,0.016750682326,0,0,14711698.3906
BLG,0.0479238302,0.059245335248,0,0,74897.5345842
BLK,-0.00860491197085,0.0581706224537,0.5,2,60901.3578712
BLR,-0.0207724082203,0.0601087711819,0,0,233450.132001
BLT,-0.064347520455,0.0460126350013,0,0,130038.798273
BLX,0.0252563882902,0.0219165617897,0,0,403216.061597
BLY,0.04249613946,0.0388981704695,0.5,1,9675977.69435
BLZ,-1.1,-1.1,-1.1,-1.1,9911.93569256
BMB,0.0824013819984,0.0524795972726,0.3958333333333333,19,92230.7415738
BMG,-1.1,-1.1,-1.1,-1.1,12220.4600887
BMH,-1.1,-1.1,-1.1,-1.1,1143.48153034
BML,-1.1,-1.1,-1.1,-1.1,47244.2004832
BMN,-0.0339485031822,0.0439682777824,0,0,473854.29063
BMZ,-1.1,-1.1,-1.1,-1.1,8626.00618298
BND,0.022442466988,0.0469386761541,0.31896551724137934,37,354032.111169
BNE,-1.1,-1.1,-1.1,-1.1,11059.1778546
BNO,0.0107743796955,0.0307287685109,0.36363636363636365,8,130607.63609
BNR,-1.1,-1.1,-1.1,-1.1,9220.36070114
BNT,-1.1,-1.1,-1.1,-1.1,5977.25719604
BNV,-1.1,-1.1,-1.1,-1.1,565.052612662
BOA,-1.1,-1.1,-1.1,-1.1,10311.2279375
BOC,-1.1,-1.1,-1.1,-1.1,36102.5141001
BOE,-1.1,-1.1,-1.1,-1.1,16434.251317
BOK,-1.1,-1.1,-1.1,-1.1,13262.0346077
BOL,0.033739426002,0.0356622353302,0,0,677298.413733
BOP,-1.1,-1.1,-1.1,-1.1,69.2328244275
BOQ,0.00450964539896,0.0140568676375,0.35714285714285715,5,8003947.20841
BPA,-1.1,-1.1,-1.1,-1.1,17212.3164488
BPF,0.110349664243,0.026522501719,0.46551724137931033,27,57352.9681877
BPG,-1.1,-1.1,-1.1,-1.1,2246.39159524
BPH,-1.1,-1.1,-1.1,-1.1,24369.5981476
BPL,-1.1,-1.1,-1.1,-1.1,4448.13100155
BPS,0.141568339814,0.0258162344776,0,0,60992.0329305
BPT,0.027775499252,0.0200914634376,0.6666666666666666,2,6302145.61979
BRB,-1.1,-1.1,-1.1,-1.1,9293.2736545
BRC,-1.1,-1.1,-1.1,-1.1,7104.42009953
BRD,-1.1,-1.1,-1.1,-1.1,16208.9804628
BRG,-0.0043275566293,0.017387339977,0.45454545454545453,5,1014949.58485
BRK,0.0207163012241,0.0280143031983,0.391304347826087,9,335119.601521
BRL,0.0306761276214,0.0480045479675,0.29411764705882354,5,1029166.91984
BRN,0.0799664536847,0.10083128747,0,0,270139.257219
BRO,-1.1,-1.1,-1.1,-1.1,17829.0177495
BRS,0.0158434497974,0.0279771109485,0,0,4129551.68316
BRU,-0.00104701599498,0.0291135475228,0.21052631578947367,8,843601.821146
BSA,-1.1,-1.1,-1.1,-1.1,45119.2472281
BSE,-0.00248005185077,0.0358941399502,0.25,3,186663.139772
BSL,-0.0283269017446,0.0311492280267,0,0,25029036.8991
BSM,-1.1,-1.1,-1.1,-1.1,49219.3229914
BSN,-1.1,-1.1,-1.1,-1.1,3397.31305778
BSP,-1.1,-1.1,-1.1,-1.1,1549.23106853
BSR,-1.1,-1.1,-1.1,-1.1,45148.9213479
BST,-1.1,-1.1,-1.1,-1.1,8074.72936047
BTC,-1.1,-1.1,-1.1,-1.1,4938.83162842
BTI,-1.1,-1.1,-1.1,-1.1,49369.3123939
BTN,-1.1,-1.1,-1.1,-1.1,2843.33288201
BTT,0.0457264424946,0.0173034546376,0.39622641509433965,21,2411928.03825
BUE,-1.1,-1.1,-1.1,-1.1,20890.1565827
BUG,-1.1,-1.1,-1.1,-1.1,6016.94794111
BUL,0.0269835612938,0.0365957077362,0.0,0,140629.785541
BUN,-1.1,-1.1,-1.1,-1.1,149.187734242
BUR,-1.1,-1.1,-1.1,-1.1,36226.2411587
BUX,0.101969312935,0.0687347113336,0,0,51744.3837795
BUY,-0.0120939319872,0.0424727890032,0.19083969465648856,25,124100.929548
BWF,-1.1,-1.1,-1.1,-1.1,3936.18280886
