,Date,Symbol,Order,Shares
35,2015-01-28,AUI,SELL,1219.51219512
21,2015-01-28,AGF,BUY,8474.57627119
30,2015-01-29,DJW,BUY,2808.98876404
36,2015-01-29,DUI,SELL,5649.942624
22,2015-01-29,AGF,SELL,6666.66666667
29,2015-01-29,HHV,SELL,7266.91374173
29,2015-02-01,ALF,SELL,6578.94736842
30,2015-02-01,HHV,BUY,7266.91374173
23,2015-02-01,AGF,BUY,6666.66666667
37,2015-02-01,DUI,BUY,2717.39130435
30,2015-02-02,ALF,BUY,7142.85714286
44,2015-02-21,WHF,BUY,2192.98245614
31,2015-03-05,ALF,SELL,7142.85714286
32,2015-03-06,ALF,BUY,7246.37681159
31,2015-03-07,DJW,SELL,2808.98876404
45,2015-03-08,WHF,SELL,1960.78431373
38,2015-03-12,DUI,SELL,2518.89168766
36,2015-03-12,AUI,SELL,1091.70305677
33,2015-03-14,ALF,SELL,7246.37681159
39,2015-03-15,DUI,BUY,2518.89168766
34,2015-03-15,ALF,BUY,7246.37681159
31,2015-03-19,HHV,SELL,7396.99681929
32,2015-03-21,HHV,BUY,7396.99681929
35,2015-03-22,ALF,SELL,7246.37681159
37,2015-03-22,AUI,BUY,1091.70305677
40,2015-03-25,DUI,SELL,3029.38503484
33,2015-03-26,HHV,SELL,7225.43352601
32,2015-03-26,DJW,BUY,2666.66666667
38,2015-03-26,AUI,SELL,1170.96018735
24,2015-03-26,AGF,SELL,6451.61290323
41,2015-03-27,DUI,BUY,3029.38503484
36,2015-03-28,ALF,BUY,7812.5
39,2015-03-28,AUI,BUY,1170.96018735
34,2015-03-29,HHV,BUY,7225.43352601
40,2015-03-29,AUI,SELL,1092.9320087
25,2015-03-29,AGF,BUY,6451.61290323
42,2015-04-02,DUI,SELL,2762.43093923
41,2015-04-02,AUI,BUY,1092.9320087
26,2015-04-02,AGF,SELL,7246.37681159
35,2015-04-02,HHV,BUY,8000.0
46,2015-04-03,WHF,BUY,1960.78431373
27,2015-04-04,AGF,BUY,7246.37681159
33,2015-04-04,DJW,SELL,2666.66666667
43,2015-04-05,DUI,BUY,2762.43093923
44,2015-04-06,DUI,SELL,2762.43093923
45,2015-04-08,DUI,BUY,2762.43093923
34,2015-04-09,DJW,BUY,2702.7027027
28,2015-04-09,AGF,SELL,6603.27522451
36,2015-04-09,HHV,SELL,15198.387561200001
47,2015-04-09,WHF,SELL,1960.78431373
42,2015-04-09,AUI,SELL,1092.9320087
37,2015-04-11,ALF,SELL,7812.5
29,2015-04-12,AGF,BUY,6603.27522451
46,2015-04-12,DUI,SELL,2739.7260274
43,2015-04-12,AUI,BUY,1092.9320087
37,2015-04-12,HHV,BUY,7198.38756119
35,2015-04-12,DJW,SELL,2702.7027027
36,2015-04-15,DJW,BUY,2702.7027027
38,2015-04-15,HHV,SELL,7033.83273546
44,2015-04-15,AUI,SELL,1183.43195266
30,2015-04-16,AGF,SELL,5555.55555556
38,2015-04-16,ALF,BUY,7722.00772201
45,2015-04-17,AUI,BUY,1183.43195266
47,2015-04-18,DUI,BUY,2739.7260274
39,2015-04-18,HHV,BUY,7033.83273546
46,2015-04-18,AUI,SELL,1094.09190372
48,2015-04-23,WHF,BUY,1960.78431373
37,2015-04-23,DJW,SELL,2702.7027027
31,2015-04-23,AGF,BUY,5555.55555556
47,2015-04-23,AUI,BUY,1094.09190372
48,2015-04-24,AUI,SELL,1094.09190372
49,2015-04-24,WHF,SELL,1934.23597679
38,2015-04-24,DJW,BUY,2702.7027027
32,2015-04-24,AGF,SELL,5025.12562814
48,2015-04-24,DUI,SELL,2525.25252525
40,2015-04-24,HHV,SELL,7327.61779146
41,2015-04-27,HHV,BUY,7327.61779146
49,2015-04-27,DUI,BUY,2525.25252525
33,2015-04-28,AGF,BUY,5025.12562814
50,2015-05-02,WHF,BUY,1934.23597679
49,2015-05-02,AUI,BUY,1094.09190372
51,2015-05-24,WHF,BUY,2202.64317181
39,2015-05-24,DJW,SELL,2702.7027027
50,2015-05-25,AUI,BUY,1200.48019208
52,2015-05-26,WHF,SELL,2202.64317181
53,2015-05-28,WHF,SELL,2072.83958294
51,2015-05-28,AUI,SELL,2314.06593818
40,2015-05-28,DJW,BUY,2732.24043716
41,2015-05-31,DJW,SELL,2732.24043716
39,2015-06-04,ALF,SELL,7722.00772201
34,2015-06-06,AGF,SELL,5780.34682081
40,2015-06-07,ALF,BUY,8474.57627119
52,2015-06-07,AUI,BUY,2331.61254269
35,2015-06-08,AGF,BUY,5780.34682081
53,2015-06-10,AUI,SELL,1218.02679659
12,2015-06-11,TGG,SELL,6238.30318153
50,2015-06-11,DUI,SELL,2564.1025641
42,2015-06-11,DJW,BUY,2724.79564033
42,2015-06-11,HHV,SELL,6996.9213546
54,2015-06-11,AUI,SELL,1117.31843575
36,2015-06-11,AGF,SELL,4342.91670286
51,2015-06-14,DUI,BUY,2564.1025641
55,2015-06-14,AUI,BUY,1117.31843575
37,2015-06-14,AGF,BUY,4342.91670286
41,2015-06-14,ALF,SELL,8474.57627119
43,2015-06-15,HHV,BUY,6996.9213546
54,2015-06-19,WHF,BUY,2072.83958294
42,2015-06-30,ALF,BUY,8130.08130081
52,2015-07-02,DUI,BUY,2564.1025641
13,2015-07-02,TGG,BUY,6238.30318153
56,2015-07-03,AUI,SELL,1117.31843575
43,2015-07-03,DJW,SELL,2724.79564033
55,2015-07-03,WHF,SELL,2042.44194359
14,2015-07-03,TGG,SELL,7797.87897692
53,2015-07-04,DUI,SELL,2564.1025641
43,2015-07-04,ALF,SELL,8130.08130081
44,2015-07-06,ALF,BUY,7812.5
15,2015-07-07,TGG,BUY,7797.87897692
57,2015-07-10,AUI,BUY,1117.31843575
54,2015-07-10,DUI,BUY,2717.39130435
56,2015-07-15,WHF,BUY,2042.44194359
38,2015-07-18,AGF,SELL,5231.49359142
45,2015-07-18,ALF,SELL,7812.5
55,2015-07-20,DUI,SELL,2717.39130435
39,2015-07-21,AGF,BUY,5231.49359142
46,2015-07-26,ALF,BUY,7407.40740741
47,2015-07-28,ALF,SELL,7407.40740741
16,2015-08-02,TGG,SELL,6369.42675159
56,2015-08-02,DUI,SELL,2583.97932817
57,2015-08-05,DUI,BUY,2583.97932817
48,2015-08-06,ALF,BUY,7462.68656716
17,2015-08-07,TGG,BUY,6369.42675159
49,2015-08-15,ALF,SELL,7462.68656716
58,2015-08-15,DUI,SELL,2583.97932817
18,2015-08-15,TGG,SELL,6369.42675159
50,2015-08-17,ALF,BUY,7575.75757576
59,2015-08-18,DUI,BUY,2583.97932817
51,2015-08-25,ALF,SELL,7575.75757576
52,2015-08-26,ALF,BUY,7407.40740741
53,2015-08-30,ALF,SELL,7407.40740741
54,2015-09-02,ALF,BUY,7299.27007299
19,2015-09-02,TGG,BUY,6369.42675159
44,2015-09-02,DJW,BUY,2739.7260274
58,2015-09-02,AUI,BUY,1141.55251142
60,2015-09-03,DUI,SELL,2583.97932817
45,2015-09-04,DJW,SELL,2739.7260274
59,2015-09-04,AUI,SELL,2283.10502283
46,2015-09-05,DJW,BUY,3144.65408805
61,2015-09-06,DUI,BUY,2583.97932817
55,2015-09-06,ALF,SELL,7299.27007299
56,2015-09-10,ALF,BUY,7142.85714286
60,2015-09-13,AUI,BUY,2423.60379347
61,2015-09-16,AUI,SELL,1282.05128205
57,2015-09-20,ALF,SELL,7142.85714286
57,2015-09-30,WHF,SELL,2272.72727273
58,2015-10-02,WHF,BUY,2272.72727273
20,2015-10-03,TGG,SELL,6622.51655629
21,2015-10-10,TGG,BUY,6622.51655629
58,2015-10-14,ALF,BUY,7272.72727273
47,2015-10-16,DJW,SELL,3144.65408805
22,2015-10-17,TGG,SELL,7179.78173464
44,2015-10-17,HHV,SELL,7540.34082341
48,2015-10-17,DJW,BUY,3267.97385621
40,2015-10-17,AGF,SELL,6451.61290323
45,2015-10-20,HHV,BUY,7540.34082341
41,2015-10-20,AGF,BUY,6451.61290323
49,2015-11-09,DJW,SELL,3267.97385621
62,2015-11-11,AUI,SELL,1364.25648022
63,2015-11-13,AUI,BUY,1364.25648022
64,2015-11-14,AUI,SELL,1275.51020408
42,2015-11-15,AGF,SELL,5649.71751412
43,2015-11-18,AGF,BUY,5649.71751412
59,2015-11-18,WHF,SELL,2272.72727273
65,2015-11-22,AUI,BUY,1275.51020408
60,2015-11-25,WHF,BUY,2272.72727273
66,2015-11-25,AUI,SELL,1275.51020408
61,2015-11-26,WHF,SELL,2272.72727273
0,2015-11-29,PGF,SELL,9615.38461538
67,2015-11-29,AUI,BUY,1275.51020408
62,2015-11-29,WHF,BUY,2272.72727273
23,2015-11-30,TGG,BUY,7179.78173464
59,2015-12-01,ALF,SELL,7272.72727273
1,2015-12-04,PGF,BUY,9615.38461538
60,2015-12-11,ALF,BUY,7142.85714286
63,2015-12-12,WHF,SELL,2380.95238095
61,2015-12-15,ALF,SELL,7142.85714286
68,2015-12-16,AUI,SELL,1385.04155125
62,2015-12-16,ALF,BUY,7142.85714286
69,2015-12-18,AUI,BUY,1385.04155125
64,2015-12-18,WHF,BUY,2380.95238095
24,2016-01-03,TGG,SELL,6901.31124914
46,2016-01-03,HHV,SELL,7466.58702307
70,2016-01-03,AUI,SELL,1298.7012987
44,2016-01-03,AGF,SELL,6250.0
65,2016-01-03,WHF,SELL,2194.61879472
62,2016-01-03,DUI,SELL,2801.12044818
50,2016-01-03,DJW,BUY,3115.26479751
63,2016-01-06,DUI,BUY,2801.12044818
47,2016-01-06,HHV,BUY,7466.58702307
45,2016-01-06,AGF,BUY,6250.0
51,2016-01-06,DJW,SELL,3115.26479751
66,2016-01-06,WHF,BUY,2194.61879472
71,2016-01-07,AUI,BUY,1298.7012987
25,2016-01-08,TGG,BUY,6901.31124914
